ddat-profession-capability-framework-skill-level	ddat-profession-capability-framework-skill	ddat-profession-capability-framework-level	description	start-date	end-date
	1016	104	Models simple areas using established techniques and understands the purpose of this and its importance. Can assist in complex modelling if required.		
	1017	104	Supports business process testing. Executes test cases under supervision. Understands the role of business process testing and how it works.		
	1049	104	Has an awareness of the target operating model.		
	1070	104	Has an understanding of the use of methods and tools.		
	1119	104	Executes test scripts under supervision. Understands the role of testing and how it works in systems development.		
	1021	102	Able to act as the escalation point and resolve large or high risk commercial management issues. Able to coach others in appropriate commercial management.		
	1023	102	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
	1027	102	Able to solve and unblock issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution whilst also building and growing the community.		
	1052	102	Able to influence or create budgets that are complex (this could be across an organisation, programme or product view). Able to manage the budget they are given and make it work.		
	1065	102	Able to successfully lead teams through the full product lifecycle. Able to identify which tools and techniques should be used at each stage. Able to develop sustainable support models. Able to identify and deal with potential risks across or between all phases of the lifecycle. Able to coach others. Able to contribute to the assessment of other teams, providing guidance and support as they move through the lifecycle phases.		
	1066	102	Able to optimise the delivery flow of teams. Able to actively address the most complicated risks, issues and dependencies including where ownership exists outside the team or no clear ownership exists. Able to identify innovative ways to unblock issues.		
	1068	102	Able to identify and challenge organisational processes of increasing complexity and those processes that are unnecessarily complicated. Able to add value and can coach the organisation to inspect and adapt processes. Guides teams through the implementation of a new process.		
	1077	102	Able to lead a continual planning process in a very complex environment. Able to plan beyond product delivery. Able to identify dependencies in plans across services and co-ordinate delivery. Coaches other teams as the central point of expertise.		
	1001	102	Coaches and leads teams in Agile and Lean practices. Is a recognised expert that advocates these approaches, continuously reflecting and challenging the team. Creates or tailors new ways of working and is always innovating.		
	1093	103	Takes inputs and establishes coherent frameworks that work.		
	1109	102	Changes organisational structures to fixable and sustainable designs. Leads on the strategy for the whole organisation, joining up business needs with innovative analysis. Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Solves and unblocks issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution.		
	1052	101	Understands the market place, realising the benefit and persuading others that a product is the right one to use. Able to integrate a product with other services. Capable of ensuring products get used. Able to realise benefits by linking work in progress back to the business case. Able to build business cases based on user needs.		
	1109	101	Able to identify problems or issues in the team dynamic and rectify them. Able to pull out issues through Agile health-checks with the team and provoke the right responses. Able to engage in varying types of feedback choosing the right type at the appropriate time and ensuring the discussion and decision sticks. Able to accelerate the team development cycle.		
	1021	101	Able to take responsibility for complex relationships with contracted suppliers. Able to identify appropriate contractual frameworks. Able to identify appropriate suppliers. Able to negotiate with contracted suppliers. Able to get good value out of contracts and suppliers.		
	1052	101	Able to negotiate, influence or set budgets in complex environments. Able to write or input into business cases and can communicate business value propositions.		
	1065	101	Able to apply experience of multiple parts of the lifecycle. Able to recognise when it is right to move forward and when it is right to stop. Able to recognise the appropriate deliverables and the right people to meet these. Able to work with other agile delivery operations throughout the product lifecycle. Able to plan and engage with the appropriate stakeholders at a particular stage in the project.		
	1001	101	Able to identify and compare the best processes or delivery methods to use. Able to recognise when something does not work and encourages a mindset of experimentation. Can adapt and reflect, is resilient and has the ability to see outside of the process. Able to use a blended approach depending on the context. Able to measure and evaluate outcomes. Able to help teams to manage and visualise outcomes.		
	1023	101	Able to listen to the needs of technical and business stakeholders and interpret them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
	1080	102	Anticipates problems and knows how to prevent them. Understands how the problem fits into the larger picture. Articulates the problem and helps others to articulate the problem. Builds problem-solving capabilities in others.		
	1066	101	Able to facilitate the delivery flow of a team, managing the pace and tempo. Able to actively address internal and external risks, issues and dependencies including where ownership exists outside the team.		
	1077	101	Understands the environment and is able to prioritise the most important or highest value tasks. Able to use data to inform planning. Able to manage complex internal and external dependencies. Able to provide delivery confidence. Able to remove blockers or impediments that affect the plan and is able to develop a plan for difficult situations. Ensures teams plan appropriately for their own capacity.		
	1109	103	Able to bring people together to form a motivated team. Able to empower delivery teams. Able to help create the right environment for a team to work in. Recognises and deals with issues. Able to facilitate the best team makeup depending on the situation.		
	1021	103	Able to act as the point of contact for contracted suppliers. Understands appropriate internal contacts and processes within a government department. Understands how and when third parties should be brought into DDaT projects.		
	1052	103	Able to balance cost versus value. Able to consider the impact of user needs. Able to report on financial delivery. Able to monitor cost and budget and escalate issues.		
	1065	103	Recognises when to move from one stage of a product lifecycle to another. Ensures the team is working towards the appropriate service standards for the relevant phase. Able to manage the delivery products or services at different phases.		
	1001	103	Has had experience in applying Agile principles in practice. Able to provide a clear, open and transparent framework in which teams can deliver. Has an awareness of Agile tools and is starting to use them intelligently. Able to visualise and make visible the work of the team.		
	1023	103	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
	1066	103	Able to actively address internal risks and issues and knows when to escalate them. Sets the team cadence and tempo, ensuring it is sustainable. Able to track, manage, escalate and communicate dependencies. Able to actively remove or minimise risks, issues or dependencies where possible. Understands how the risks, issues or dependencies impact the work of a team.		
	1068	103	Guides teams to focus on the output rather than the process. Helps the team to find a process that works for them. Can help teams to establish a process.		
	1077	104	Has an awareness of the importance of planning and forecasting and the different ways to develop a plan.		
	1109	104	Has an awareness of the importance of team dynamics, collaboration and empowering delivery teams. Understands the importance of feedback.		
	1052	104	Understands the financial impact of the work they do and how cost and budgets are created.		
	1065	104	Understands how the needs of the team and of the product, vary across the phases of the lifecycle.		
	1002	102	Coaches and leads teams in Agile and Lean practices, determining the right approach for the team to take and evaluating this through the life of a project. Is able to think of new and innovative ways of working to achieve the right outcomes. Is able to act as a recognised expert and advocates for the approaches, continuously reflecting and challenging the team.		
	1053	102	Able to develop an agile business case, own and iterate it throughout the lifecycle. Able to develop benefits with others within the portfolio. Understands the granularity of financial costs per sprint and value delivered.		
	1074	102	Keeps abreast of industry best practice and cascades ways of working. Knows how to make operations efficient. Is the escalation point for major operational issues and champions operational management across the community. Works closely with leaders of operational delivery teams in DDaT.		
	1107	101	Defines the integration build. Able to co-ordinate build activities across systems, and understands how to undertake and support integration testing activities.		
	1079	102	Is able to anticipate problems and knows how to defend against them at the right time. Understands how the problem fits into the larger picture. Is able to articulate the problem and helps others to articulate the problem. Builds problem-solving capabilities in others.		
	1100	102	Able to develop a long-term vision and objectives. Discerning and disciplined in focusing on what is important and most relevant. Able to develop the capability of others.		
	1041	101	Able to demonstrate an advanced understanding of design, technology and data principles. Able to identify and implement solutions for assisted digital. Able to apply knowledge to work with other job families.		
	1082	103	Understands tools, terms and concepts used to deliver a product and how they can be adapted, and applied to different phases of delivery.		
	1082	102	Capable of starting to define and create approaches. Able to coach others. Able to implement new ways of working. Is aware of what other sectors are doing. Understands what is most important and applicable.		
	1041	102	Has knowledge of the wider digital economy and advances in technology. Understands agile working at an organisational level. Able to create the environment for success. Able to drive working with other DDaT roles, job families and professions.		
	1053	101	Understands the market place, realising the benefit and persuading others that a product is the right one to use. Able to integrate a product with other services. Capable of ensuring products get used. Able to realise benefits by linking work in progress back to the business case. Able to build business cases based on user needs.		
	1127	102	Able to influence, challenge and coach. Able to anticipate how constraints might change and knows where to challenge or remove constraints.		
	1100	101	Able to get buy-in from the organisation. Able to work with scant information and to articulate that in abstract terms. Able to come up with a strategy.		
	1129	104	Has a Level 3 Service Management Framework qualification.		
	1127	101	Works with and challenges senior stakeholders. Can prioritise and mitigate constraints and can turn them into an advantage. Is able to adapt the approach depending on the constraints.		
	1074	101	Able to design operational processes for the running and maintenance of products or services throughout its life-cycle. Able to redesign operational processes, amend existing processes, and plan and operationalise the stages of a new product or service development. Is the escalation point for operational issues and can fix complex operational issues. Able to overcome operational constraints to deliver a successful product  or service. Works closely with operational delivery teams in DDaT.		
	1079	101	Ensures that the right actions are taken to investigate, resolve and anticipate problems. Co-ordinates the team to investigate problems, implement solutions and preventative measures.		
	1082	101	Experienced in applying tools, terms and concepts in a variety of ways. Able to be flexible, consider new ways of working and adapt to change.		
	1124	103	Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
	1136	101	Able to collaborate with user researchers and can sell or represent users internally. Understands the difference between user needs and desires of the user. Able to champion user research to focus on totality of all users. Can prioritise and defines approaches to understand the user story, guiding others in doing so. Can offer recommendations on the best tools and methods to be used.		
	1041	103	Able to demonstrate a working understanding of design, technology and data principles. Understands the variety and complexity of users’ digital needs and how the product will meet those needs. Understands the importance of assisted digital. Able to design services and make decisions to meet users needs.		
	1127	103	Can identify and understand constraints and is able to communicate these and work within them. Is able to challenge the validity of constraints. Capable of ensuring standards are being met.		
	1002	104	Has an awareness of agile methodology and the ways you could apply the principles in practice. Able to take an open-minded approach and understands why iteration is important and can do it quickly.		
	1074	104	Understands the operational processes of running and maintaining product or service.		
	1079	103	Initiates and monitors actions to investigate patterns and trends to resolve problems. Consults specialists where required. Determines the appropriate remedy and assists with implementation of it. Determines preventative measures.		
	1082	104	Has awareness of tools, terms and concepts used to deliver a product.		
	1100	103	Able to get buy-in from the team.		
	1136	103	Identifies and engages with users and stakeholders to collate user needs evidence. Understand and define research which fits user needs. Able to use quantitative and qualitative data about users to turn user focus into outcomes.		
	1036	101	Identifies areas of innovation in data tools and techniques, and recognises appropriate timing for adoption.		
	1041	104	Able to demonstrate a basic understanding of design, technology and data principles. Understands the range of available technology choices.		
	1053	104	Able to handle numbers confidently and collate information ensuring accuracy of financial and performance data.		
	1127	104	Understands the value of policy, legislative, regulatory and operational constraints and finds the least troublesome solution for users.		
	1008	102	Able to mediate and mend relationships, communicating with stakeholders at all levels.		
	1067	102	Able to make and justify decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders.		
	1124	102	Designs systems characterised by high levels of risk, impact and business or technical complexity.		
	1131	102	Able to understand trends and practices outside their organisation and how these will impact their work. Can anticipate changing policy.		
	1055	102	Able to understand how technical governance works with wider governance (for example, budget). Capable of assuring corporate services by understanding key risks and mitigation through assurance mechanisms.		
	1103	102	Capable of shaping and influencing government strategy. Able to own and be responsible for setting strategies, patterns, standards, policies, roadmaps and vision statements.		
	1067	101	Able to make decisions characterised by medium levels of risk and complexity and recommend decisions as risk and complexity increase. Able to build consensus between services or independent stakeholders.		
	1131	101	Able to understand trends and practices within the broader organisation and how these will impact their work. Able to look for deeper underlying problems and opportunities. Can anticipate problems before they occur and identify the impact of changes to policy.		
	1055	101	Capable of evolving and defining governance and taking responsibility for collaborating and supporting in wider governance. Knows how to assure services delivered by technical architects across sets of services.		
	1103	101	Capable of defining and challenging strategies, patterns, standards, policies, roadmaps and vision statements. Capable of providing proactive advice and guidance for their definition across the organisation.		
	1008	101	Able to listen to the needs of technical and business stakeholders and interpret them. Capable of proactive and reactive communication.		
	1067	103	Able to make decisions characterised by managed levels of risk and complexity and recommend decisions as risk and complexity increase. Capable of resolving technical disputes between wider peers and indirect stakeholders, taking into account all views and opinions.		
	1124	101	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Works across multiple services or a single large or complicated service.		
	1131	103	Able to understand trends and practices outside their team and how these will impact their work. Able to understand how their work fits into the broader strategy and historical context. Capable of considering the patterns and interactions on a larger scale.		
	1103	103	Capable of applying strategy, using patterns, standards, policies, roadmaps and vision statements. Able to challenge them and provide guidance.		
	1008	103	Able to speak on behalf of technical teams and facilitate the relationships with indirect stakeholders.		
	1055	103	Understands how governance works and what governance is required. Capable of taking responsibility for the assurance of parts of a service, knows what risks need to be managed.		
	1131	104	Able to understand how their work supports the team and identify the wider influences and how they apply. Able to keep an open mind and understand the broader context.		
	1055	104	Understands how governance works and is able to participate in assurance.		
	1103	104	Aware of the purpose and application of strategy, standards, patterns, policies, roadmaps and vision statements.		
	1010	102	Able to predict and advise on future technology changes that present opportunities for a product or programme.		
	1056	102	Able to understand how technical governance works with wider governance (for example, budget). Capable of assuring corporate services by understanding key risks and mitigation through assurance mechanisms.		
	1063	102	Leads teams and departments in the design, implementation, administration and support of infrastructure solutions and services.		
	1104	101	Architects the design of network services within a team requiring moderate to complex service integration.		
	1105	102	Designs systems characterised by high levels of risk, impact and business or technical complexity. Controls system design practice within an enterprise or industry architecture. Influences industry based models for the development of new technology applications. Develops effective implementation and procurement strategies, consistent with business needs. Ensures adherence to relevant technical strategies, policies, standards and practices.		
	1121	101	Able to dissect a problem to its component parts to identify and diagnose root causes. Able to troubleshoot and identify problems across different technology capabilities.		
	1010	101	Has a deep understanding of the technical concepts required in their role and understands how these fit into the wider technical landscape.		
	1056	101	Capable of evolving and defining governance and taking responsibility for collaborating and supporting in wider governance. Knows how to assure services delivered by Architects across sets of services.		
	1063	101	Architects, designs and implements infrastructure technologies, solutions and services such as: compute, storage, networking, physical infrastructures, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including PaaS, SaaS.		
	1105	101	Designs systems characterised by medium levels of risk, impact and business or technical complexity. Selects appropriate design standards, methods and tools and ensures they are applied effectively. Reviews the systems designs of others to ensure selection of appropriate technology, efficient use of resources, and integration of multiple systems and technology.		
	1122	101	Able to dissect a problem to its component parts to identify and diagnose root causes. Able to troubleshoot and identify problems across different technology capabilities.		
	1010	104	Aware of the subject matter and has an understanding of what it involves.		
	1056	104	Understands how governance works and is able to participate in assurance.		
	1063	103	Builds, configures, administers and supports infrastructure technologies and solutions such as: compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.		
	1104	104	Familiar with the principles of integration and how these should be incorporated within the design of solutions.		
	1105	103	Translates logical designs into physical designs. Produces detailed designs and documents all work using required standards, methods and tools, including prototyping tools where appropriate. Designs systems characterised by managed levels of risk, manageable business and technical complexity and meaningful impact. Works with well-understood technology and identifies appropriate patterns.		
	1122	103	Able to troubleshoot and identify problems across different technology capabilities.		
	1025	102	Has an expert understanding and is able to apply security concepts to a technical level, at the highest levels of risk complexity. Able to effectively translate and accurately communicate security and risk implications at the most senior levels across technical and non-technical stakeholders, and able to respond to challenge. Able to manage stakeholders’ expectations across high-risk and complexity or under constrained timescales.		
	1042	102	Leads design and reviews solutions to complex problems with system architectures by defining and challenging patterns and principles. Creates precedents and sets direction.		
	1048	102	A point of escalation. Trusted by senior risk owners as an expert in security. Able to apply risk methodologies at the most complex levels of risk.		
	1091	101	Able to contribute to and inform developments on security properties in technology. Able to identify new technologies and design the use of these in the business context across the organisation. Engages with the broader security community.		
	1097	102	Has strong knowledge of system architectures. Able to understand and articulate the impact of vulnerabilities on existing and future designs, systems and how easy or difficult it will be to exploit these vulnerabilities. Acknowledged as an expert by peers in the broader security industry.		
	1003	102	Provides direction and leads on change with regards to factors that feed into analysis.  Monitors changes in the technical environment and assesses whether risks are still at acceptable levels or whether previous decisions need to be revisited. Directs and influences others on best practice and policy.		
	1130	102	Able to challenge and lead changes to policy and processes to support business outcomes, business architecture and legal and political implications.		
	1025	101	Has a deep understanding and is able to apply security concepts to a technical level. Able to effectively translate and accurately communicate security and risk implications across technical and non-technical stakeholders, and able to respond to challenge. Able to manage stakeholders’ expectations and be flexible, adapting to stakeholders’ reactions to reach consensus.		
	1042	101	Designs and reviews system architectures through the development of patterns and principles.		
	1048	101	Works with higher impact or more complex risks. Advises on the impact of these and whether this is within risk tolerance. Able to apply different risk methodologies in proportion to the risk in question.		
	1003	101	Monitors the analysis of a technical solution and ensures analysis is re-used for similar problem sets. Reviews solutions and identifies areas for change. Drives the collection of information that is used and analysed. Feeds back on policy and requirements.		
	1130	101	Can interpret and apply understanding across a complex area. Has the ability to start influencing policy and process, business architecture and legal and political implications.		
	1042	103	Designs and reviews system architectures through the application of patterns and principles.		
	1048	103	Works with risk owners to advise and give feedback. Advises on risk impact and whether this is within risk tolerance. Understands different risk methodologies and how these are applied, as well as the proportionality of risk.		
	1091	103	Able to advise on developments on security properties in technology. Able to identify new technologies and design the use of these in the business context.		
	1097	103	Has knowledge of system architectures. Able to understand and articulate the impact of vulnerabilities on existing and future designs and systems, and is able to articulate a response. Has broad knowledge of a range of systems but may specialise in one.		
	1003	103	Able to apply the approach to real problems and consider all relevant information. Applies appropriate rigour to ensure a full solution is designed and achieves the business outcome.		
	1130	103	Can interpret and apply understanding of policy and process, business architecture, and legal and political implications in order to assist the development of technical solutions or controls.		
	1024	102	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk or complexity or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
	1038	102	Understands the concepts and principles of data modelling, and produces relevant data models. Works across government and into industry, understanding opportunities for re-use and alignment between the data models in different organisations. Designs how data models should be categorised within the organisation.		
	1040	102	Develops and sets data standards for an organisation. Communicates the business benefit of data standards, championing and governing those standards across the organisation. Understands where standards need to be set across an organisation. Understands the standards within an organisation in the wider context of government.		
	1069	102	Understands how metadata repositories can support different areas of the business. Promotes and communicates the value of metadata repositories. Sets up robust governance processes for keeping the repositories up to date.		
	1123	102	Designs data architecture by dealing with problems that span the enterprise. Works across all organisational subject areas.		
	1031	103	Undertakes data profiling and source system analysis and can present clear insights to colleagues to support the end use of the data.		
	1032	101	Turns complex data into clear, simple and actionable stories. Shares data communication skills with the team and across government.		
	1035	102	Ensures data governance supports changes to the organisational strategy. Aligns data governance with wider governance (for example, budget). Assures corporate services by understanding key risks and mitigation through assurance mechanisms.		
	1102	102	Leads the design and implementation of strategy, directing the evaluation of strategies and policies to ensure business requirements are being met.		
	1024	101	Able to listen to the needs of technical and business stakeholders and interpret them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
	1038	101	Understands the concepts and principles of data modelling and is able to produce relevant data models across multiple subject areas. Reverse engineers data models from a live system. Understands industry recognised data modelling patterns and standards and when to apply them. Compares and aligns different data models.		
	1040	101	Develops and sets data standards across multiple subject areas. Acts as the escalation point for breaches of data standards and makes recommendations about how the organisation should resolve that breach.		
	1069	101	Designs an appropriate metadata repository and presents changes to existing metadata repositories. Understands a range of tools for storing and working with metadata. Provides oversight and advice to more inexperienced members of the team.		
	1123	101	Designs data architecture by dealing with problems that span different business areas. Draws links between problems in order to reach common solutions. Works across multiple subject areas, a single large or complicated subject area.		
	1032	103	Understands the appropriate mediums to communicate findings and shapes communications to the audience.		
	1035	101	Evolves and defines data governance, and takes responsibility for collaborating and supporting in wider governance. Knows how to assure and integrate data services to meet the needs of multiple business services. Works proactively to ensure the organisation designs architecture that considers data.		
	1036	103	Understands the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.		
	1080	101	Ensures that the most appropriate actions are taken to resolve problems as they occur. Co-ordinates teams to resolve problems and implement solutions and preventative measures.		
	1102	103	Works within a strategic context and communicates how activities meet strategic goals.		
	1024	103	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
	1038	103	Understands the concepts and principles of data modelling and is able to produce, maintain and update relevant data models for specific business needs. Reverse engineers data models from a live system.		
	1040	103	Develops data standards for a specific component. Analyses where data standards have been applied or breached and undertakes an impact analysis of that breach.		
	1069	103	Works with metadata repositories to complete complex tasks such as data and systems integration impact analysis. Maintains a repository to ensure information remains accurate and up to date.		
	1123	103	Designs data architecture by dealing with specific business problems and aligning it to enterprise-wide standards and principles. Works within the context of well understood architecture and identifies appropriate patterns.		
	1032	104	Aware that data needs to be aligned to the needs of the end user. Able to create basic visuals and presentations.		
	1035	103	Understands what data governance is required. Capable of taking responsibility for the assurance of data solutions and making recommendations to ensure compliance.		
	1036	104	Aware of opportunities for innovation with new tools and uses of data.		
	1080	103	Responds to problems in databases, data processes, data products and services as they occur. Initiates actions, monitors services and identifies trends to resolve problems. Determines the appropriate remedy and assists with implementation of it as well as preventative measures.		
	1102	104	Aware of the strategic context of their work and why it is important. Supports strategic planning in an administrative capacity.		
	1044	102	Sets strategy and manages resource allocation for solution development programmes. Liaises with client functions to establish business requirements and  identifies, proposes, initiates and leads these programmes.		
	1071	102	Strong understanding and application of the most appropriate  modern standards and practices. Takes responsibility for coaching and guiding others.		
	1085	101	Collaborates with others when necessary to review specifications and uses these agreed specifications to design, code, test and document programs or scripts of medium to high complexity, using the right standards and tools.		
	1095	101	Identifies, locates and competently fixes faults.		
	1106	102	Designs systems characterised by high levels of risk, impact and business or technical complexity. Controls system design practice within an enterprise or industry architecture. Influences industry based models for the development of new technology applications. Develops effective implementation and procurement strategies, consistent with business needs. Ensures adherence to relevant technical strategies, policies, standards and practices.		
	1007	101	Ensures the correct implementation of standards and procedures, identifying capacity issues, stipulating the required changes and instigating these. Instigates remedial action.		
	1060	102	Has a depth of knowledge in information security, able to design, quality review and quality assure solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
	1087	102	Experienced in using a variety of methods of prototyping. Shares best practice and can coach others. Looks at strategic service design end to end.		
	1045	101	Able to analyse current processes, identify and implement opportunities to optimise processes, and leads and develops a team of experts to deliver service improvements. Helps evaluate and establish requirements for the implementation of changes by setting policy and standards.		
	1071	102	Strong understanding and application of the most appropriate modern standards and practices. Takes responsibility for coaching and guiding others.		
	1086	102	Advises on the right way to apply standards and methods, ensuring compliance, and maintains technical responsibility for all the stages and iterations of a software development project. Provides technical advice to stakeholders and sets the team-based standards for programming tools and techniques.		
	1108	101	Defines the integration build. Able to co-ordinate build activities across systems and understands how to undertake and support integration testing activities.		
	1007	103	Manages the service components to ensure they meet business needs and performance targets.		
	1086	101	Collaborates with others when necessary to review specifications and uses these agreed specifications to design, code, test and document programs or scripts of medium to high complexity, using the right standards and tools.		
	1059	102	Has a depth of knowledge in information security, able to design, quality review and quality assure solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
	1044	101	Able to analyse current processes, identify and implement opportunities to optimise processes, and leads and develops a team of experts to deliver service improvements. Helps evaluate and establish requirements for the implementation of changes by setting policy and standards.		
