profession-capability-framework-capability-mastery-level	profession-capability-framework-capability	profession-capability-framework-mastery-level	description	start-date	end-date
10424	1012	12	Exploits opportunities through the recognition of new digital technologies to enhance analytical capability in alignment with business goals.		
10441	1012	13	Understands core technical concepts related to their role and is able to apply them.		
10448	1012	14	Aware of some analytical tools and technologies and is able to use them. Is aware of digital technology and has an understanding of what it involves and its impact.		
10002	1013	11	Responsible for investigative work into problems and opportunities in existing and new services. Drives the analysis and collection of information and creation of to create recommendations for service improvements. Analyses large amounts of complex information and uses it to produce solutions.		
10020	1013	13	Investigates problems and analyses options for new and existing services. Provides recommendations to solutions. Works with stakeholders to identify objectives, opportunities and potential benefits available.		
10031	1013	14	Investigates operational needs or problems and assists in the recommendation of service improvement and business solutions. Contributes to the recommendation of improving services and understands the importance of evidence-based design or analysis.		
10278	1014	11	Leads investigative work into problems and opportunities in existing processes, driving the collection of information and creation of recommendations for improvements. Can absorb large amounts of conflicting information and use it to produce solutions.		
10269	1014	12	Directs business analysis, including the collection of information and evidence, identification of problems and opportunities, and ensuring recommendations fit with strategic business objectives. Communicates recommendations persuasively to key stakeholders and can identify the simplest approach out of a variety of approaches.		
10284	1014	13	Investigates problems and opportunities in existing processes and contributes to recommending solutions to these. Works with stakeholders to identify objectives and potential benefits available.		
10337	1014	14	Contributes to the recommendation of improving processes and understands the importance of evidence-based design or analysis.		
10003	1015	11	Able to analyse current services and processes, and identify and implement opportunities to optimise these. Helps to evaluate and establish requirements using relevant techniques such as gap analysis.		
10032	1015	13	Able to identify service and process improvement opportunities with guidance. Contributes to the implementation of proposed solutions.		
10017	1016	11	Models more advanced and complex situations across more than one business function or programme. Gathers insight from senior stakeholders and communicates modelling results clearly to them.		
10009	1016	12	Is an advisor on the most appropriate techniques to use and creates models that support a business strategy. Plans and coordinates the team’s modelling and supports them in this.		
10025	1016	13	Can use a wide range of techniques to model situations confidently. Gains the necessary agreement needed from subject matter experts and stakeholders, ensuring they review the results to fix any issues.		
10038	1016	14	Models simple areas using established techniques and understands the purpose of this and its importance. Can assist in complex modelling if required.		
10018	1017	11	Takes responsibility for creation of test cases. Creates traceability records, from test cases back to requirements.		
10010	1017	12	Accountable for integrity of testing and acceptance activities, and coordinates the execution of these activities. Manages client relationships with respect to testing matters.		
10026	1017	13	Reports on system quality and collects metrics on test cases.		
10039	1017	14	Supports business process testing. Executes test cases under supervision. Understands the role of business process testing and how it works.		
10288	1018	11	Deals with high impact, complex change requests. Ensures that release policies, procedures and processes are applied.		
10354	1018	12	Has broad industry experience in change management and is able to implement a successful change management process from zero to full maturity. A champion of change management, actively improving and optimising current processes.		
10309	1018	13	Able to analyse and assess impact, develops and documents change requests. Implements changes based on requests for change.		
10296	1018	14	Able to implement changes based on requests for change. Applies change control procedures.		
10250	1019	13	Able to interact, read code, write HTML and is able to carry out baseline repair activities.		
10258	1019	14	Has an understanding of how the internet works and is aware of which tools and software are available to be utilised and are currently in practice.		
10327	1020	13	Interacts with and reads code and is able to carry out baseline repair activities.		
10329	1020	13	Interacts with and reads code, and is able to carry out baseline repair activities.		
10330	1020	14	Knows which scripting tools and software are available to be utilised and are currently in practice.		
10053	1021	11	Able to take responsibility for complex relationships with contracted suppliers. Able to identify appropriate contractual frameworks. Able to identify appropriate suppliers. Able to negotiate with contracted suppliers. Able to get good value out of contracts and suppliers.		
10049	1021	12	Able to act as the escalation point and resolve large or high risk commercial management issues. Able to coach others in appropriate commercial management.		
10061	1021	13	Able to act as the point of contact for contracted suppliers. Understands appropriate internal contacts and processes within a government department. Understands how and when third parties should be brought into DDaT projects.		
10435	1022	11	Turns complex data into compelling, clear and actionable stories. Shares data communication skills with the team and across government. Presents analysis and visualisations in clear ways to communicate complex messages. Is able to communicate negative and positive information to stakeholders. Able to give tactical and strategic recommendations.		
10425	1022	12	Able to communicate relevant, compelling stories using the most appropriate medium. Able to give complex recommendations at a tactical and strategic level. Presents analysis and visualisations in clear ways to communicate complex messages. Is able to communicate negative and positive information to stakeholders.		
10442	1022	13	Understands the appropriate media to communicate findings. Shapes and shares communications cognisant of the audience. Able to give tactical recommendations.		
10187	1023	11	Has a deep understanding and is able to apply security concepts to a technical level. Able to effectively translate and accurately communicate security and risk implications across technical and non-technical stakeholders, and able to respond to challenge. Able to manage stakeholders’ expectations and be flexible, adapting to stakeholders’ reactions to reach consensus.		
10180	1023	12	Has an expert understanding and is able to apply security concepts to a technical level, at the highest levels of risk complexity. Able to effectively translate and accurately communicate security and risk implications at the most senior levels across technical and non-technical stakeholders, and able to respond to challenge. Able to manage stakeholders’ expectations across high-risk and complexity or under constrained timescales.		
10160	1024	11	Able to listen to the needs of technical and business stakeholders and interpret between them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10149	1024	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk or complex topics or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
10376	1024	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk or complex topics, or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
10170	1024	13	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitating discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
10390	1024	14	Is aware of the need to translate technical concepts into non-technical language and understands what communication is required to internal and external stakeholders.		
10473	1025	11	Able to listen to the needs of the technical and business stakeholders and interpret between them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10477	1025	11	Able to listen to the needs of the technical and business stakeholders and interpret them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10502	1025	11	Able to listen to the needs of the technical and business stakeholders, and interpret between them. Able to manage stakeholders’ expectations and be flexible, is capable of proactive and reactive communication. Facilitates difficult discussions within the team or with diverse senior stakeholders.		
10464	1025	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. Able to speak / represent the community to large audiences inside and outside of government.		
10470	1025	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. Able to speak and represent the community to large audiences inside and outside of government.		
10496	1025	12	Able to mediate and mend relationships, communicating with stakeholders at all levels. Able to manage stakeholders’ expectations and facilitate discussions across high risk and complexity or under constrained timescales. able to speak and represent the community to large audiences inside and outside of government.		
10483	1025	13	Able to effectively translate and accurately communicate across technical and non-technical stakeholders as well as facilitate discussions within a multidisciplinary team, with potentially difficult dynamics. Able to advocate for the team externally and can manage differing perspectives.		
10490	1025	14	Aware of the need to translate technical concepts into non-technical language and understands what communication is required to internal and external stakeholders.		
10345	1026	11	Able to work collaboratively within a group, actively networking with others and engaging in varying types of feedback choosing the appropriate time and ensuring the discussion sticks. Uses initiative to identify problems or issues in the team dynamic and rectify them. Able to pull out issues through agile health-checks with the team to provoke the right responses.		
10356	1026	11	Able to work collaboratively within a group, actively networking with others and engaging in varying types of feedback choosing the appropriate time, and ensuring the discussion sticks. Uses initiative to identify problems or issues in the team dynamic and rectify them. Able to pull out issues through agile health-checks with the team to provoke the right responses.		
10072	1026	12	Able to solve and unblock issues between teams or departments at the highest level. Understands the psychology of the team and has strong mediation skills. Able to coach the organisation on team dynamics and conflict resolution whilst also building and growing the community.		
10341	1026	13	Contributes to the work of others whilst having the ability to motivate and empower teams. Creates the right environment for teams to work in and is able to facilitate the best team makeup depending on the situation. Recognises and deals with issues.		
10357	1026	14	Understands the work of others and the importance of team dynamics, collaboration and feedback.		
10277	1027	11	Able to analyse current processes, identify and implement opportunities to optimise processes and leads and develops a team of experts to deliver service improvements. Helps to evaluate and establish requirements for the implementation of changes by setting policy and standards.		
10283	1027	13	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10304	1027	14	Aware of the importance to consider developing process efficiency and common ways in which processes are optimised. Supports specific activities to improve development processes. Able to spot or identify obvious deficiencies.		
10340	1027	14	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10346	1028	13	Manages the runbooks for service continuity. This includes managing the processes around service continuity and testing the runbooks to ensure that service availability can be maintained in any event.		
10344	1028	14	Aware of the IT standard continuity management processes and procedures.		
10351	1029	11	Maintains a high level of customer service. Has the confidence to deal with complex complaints and uses empathy to satisfy customer demands.		
10349	1029	12	Translates ‘lessons learnt’ from complaint cycles into continual service improvement. Takes responsibility for the full range of customer service functions including reviewing customer service satisfaction. Investigates which processes can be automated and ways to do so.		
10353	1029	13	Resolves user requests to a minimum of the agreed service level agreement. Able to empathise with the end user. Uses customer-focused metrics to achieve a satisfying outcome.		
10377	1030	11	Understands and can help teams apply a range of techniques for data profiling and source system analysis from a complex single source. Able to bring multiple data sources together in a conformed model for analysis.		
10154	1030	13	Undertakes data profiling and source system analysis and can present clear insights to colleagues to support the end use of the data.		
10155	1031	11	Turns complex data into clear, simple and actionable stories. Shares data communication skills with the team and across government.		
10165	1031	13	Understands the appropriate mediums to communicate findings and shapes communications to the audience.		
10175	1031	14	Aware that data needs to be aligned to the needs of the end user. Able to create basic visuals and presentations.		
10386	1032	11	Designs, builds and tests data products that are complex or large scale. Builds teams to complete data integration services.		
10378	1032	12	Establishes enterprise-scale data integration procedures across the data development lifecycle and ensures that teams adhere to these. Manages resources to ensure that data services work effectively at an enterprise level.		
10391	1032	13	Designs, builds and tests data products based on feeds from multiple systems using a range of different storage technologies and/or access methods. Creates repeatable and reusable products.		
10397	1033	11	Can work with data engineers to map, produce, transform and test new data feeds for data owners and consumers, selecting the most appropriate tools and technologies. Can lead ad hoc data exploration in a wide variety of data serialisation and storage formats, from across the business, for data consumers.		
10404	1033	12	Has significant experience building data pipelines at scale using a range of tools and technologies and can advise on data engineering best practices across industry. Can lead ad hoc data exploration practices in their business area by identifying and setting best practice and standards. Identifies opportunities for future innovation of data exploration practices.		
10412	1033	13	Can work with data engineers to map, produce, transform and test new data feeds for data owners and data consumers, using tools and technologies already in use in the business area. Can conduct ad hoc data exploration in common data serialisation and storage formats used across the business for data consumers.		
10418	1033	14	Understands the technical principles underpinning data feeds (both streaming and batch types) for consumption by data products. Can explain how existing tools can be applied to create these feeds. Is aware of, and can use, ad hoc data exploration techniques to build datasets for data consumers.		
10166	1034	11	Evolves and defines data governance, and takes responsibility for collaborating and supporting in wider governance. Knows how to assure and integrate data services to meet the needs of multiple business services. Works proactively to ensure the organisation designs architecture that considers data.		
10156	1034	12	Ensures data governance supports changes to the organisational strategy. Aligns data governance with wider governance (for example, budget). Assures corporate services by understanding key risks and mitigation through assurance mechanisms.		
10176	1034	13	Understands what data governance is required. Capable of taking responsibility for the assurance of data solutions and making recommendations to ensure compliance.		
10157	1035	11	Identifies areas of innovation in data tools and techniques, and recognises appropriate timing for adoption.		
10385	1035	11	Identifies areas of innovation in data tools and techniques, and recognises appropriate timing for adoption.		
10382	1035	12	Investigates emerging trends in data-related approaches, performing horizon-scanning for the organisation and introducing innovative ways of working.		
10167	1035	13	Understands the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.		
10389	1035	13	Understands the impact of emerging trends on the organisation in data tools, analysis techniques and data usage.		
10177	1035	14	Aware of opportunities for innovation with new tools and uses of data.		
10394	1035	14	Aware of opportunities for innovation with new tools and uses of data.		
10387	1036	11	Selects and implements the appropriate technologies to deliver resilient, scalable and future-proof data solutions.		
10379	1036	12	Establishes standards, keeps abreast of best practice in industry and across government. Keeps those standards up to date and ensures adherence to them.		
10392	1036	13	Delivers data solutions in accordance with agreed organisational standards that ensure services are resilient, scalable and future-proof.		
10161	1037	11	Understands the concepts and principles of data modelling and is able to produce relevant data models across multiple subject areas. Reverse engineers data models from a live system. Understands industry recognised data modelling patterns and standards and when to apply them. Compares and aligns different data models.		
10150	1037	12	Understands the concepts and principles of data modelling, and produces relevant data models. Works across government and into industry, understanding opportunities for re-use and alignment between the data models in different organisations. Designs how data models should be categorised within the organisation.		
10171	1037	13	Understands the concepts and principles of data modelling and is able to produce, maintain and update relevant data models for specific business needs. Reverse engineers data models from a live system.		
10398	1038	11	Displays strong intellectual curiosity and proactively explores areas of innovation in both government and industry. Can identify the business value for innovation within their organisation.		
10405	1038	12	Is a thought leader in their organisation. Identifies future areas of innovation and can show how it can be applied to their organisation and wider government.		
10413	1038	13	Displays intellectual curiosity and proactively explores areas of innovation. Can identify the business value for innovation within their team.		
10419	1038	14	Displays intellectual curiosity and has some awareness of innovation and emerging trends in industry.		
10162	1039	11	Develops and sets data standards across multiple subject areas. Acts as the escalation point for breaches of data standards and makes recommendations about how the organisation should resolve that breach.		
10151	1039	12	Develops and sets data standards for an organisation. Communicates the business benefit of data standards, championing and governing those standards across the organisation. Understands where standards need to be set across an organisation. Understands the standards within an organisation in the wider context of government.		
10172	1039	13	Develops data standards for a specific component. Analyses where data standards have been applied or breached and undertakes an impact analysis of that breach.		
10081	1040	11	Able to demonstrate an advanced understanding of design, technology and data principles. Able to identify and implement solutions for assisted digital. Able to apply knowledge to work with other job families.		
10086	1040	12	Has knowledge of the wider digital economy and advances in technology. Understands Agile Working at an organisational level. Able to create the environment for success. Able to drive working with other DDaT roles, job families and professions.		
10089	1040	12	Has knowledge of the wider digital economy and advances in technology. Understands agile working at an organisational level. Able to create the environment for success. Able to drive working with other DDaT roles, job families and professions.		
10098	1040	13	Able to demonstrate a working understanding of design, technology and data principles. Understands the variety and complexity of users’ digital needs and how the product will meet those needs. Understands the importance of assisted digital. Able to design services and make decisions to meet users needs.		
10107	1040	14	Able to demonstrate a basic understanding of design, technology and data principles. Understands the range of available technology choices.		
10188	1041	11	Designs and reviews system architecture solutions through the development of patterns and principles.		
10181	1041	12	Leads design and reviews solutions to complex problems with system architectures by defining and challenging patterns and principles. Creates precedents and sets direction.		
10192	1041	13	Designs and reviews system architectures through the application of patterns and principles.		
10406	1042	11	Promotes and monitors continuous professional development within their organisation. Develops knowledge of cutting-edge techniques and shares knowledge. Propagates data science capability across the organisation.		
10399	1042	12	Advocates the importance of continuous learning to the data science team and propagates data science capability to the wider organisation and in industry. Is a role model of best practice through demonstration of their own self-directed learning. Sets the data science curriculum across government.		
10414	1042	13	Develops their data science knowledge through self-directed learning and shares their learning within their team, where appropriate. Identifies professional development opportunities for data scientists.		
10420	1042	14	Develops their data science skills and knowledge through line management, directed and self-directed learning. Shares their learning with the team where appropriate. Supports the cross-government data science community.		
10198	1043	11	Able to analyse current processes, identify and implement opportunities to optimise processes, and leads and develops a team of experts to deliver service improvements. Helps evaluate and establish requirements for the implementation of changes by setting policy and standards.		
10206	1043	12	Sets strategy and manages resource allocation for solution development programmes. Liaises with client functions to establish business requirements and identifies, proposes, initiates and leads these programmes.		
10212	1043	13	Able to identify process optimisation opportunities with guidance and contribute to the implementation of proposed solutions.		
10218	1043	14	Aware of the importance consider developing process efficiency and the common ways in which processes are optimised. Supports specific activities to improve development processes. Able to spot or identify obvious deficiencies.		
10014	1044	11	Has the ability to apply a digital understanding to their work. Is able to identify and implement solutions for assisted digital.		
10004	1044	12	Has knowledge of the wider digital economy and advances in technology, understanding how these impact on a government context. Makes decisions that set the standards for others to follow. Understands working with agility at an organisational level and is able to create the environment for success.		
10465	1044	12	Has knowledge of the wider digital economy and advances in technology, understanding how these impact in a government context. Makes decisions that set the standards for others to follow. Understands working with agility at an organisational level and is able to create the environment for success.		
10033	1044	13	Is responsive to changes in technology, adapting their approach accordingly. Makes decisions to meet user needs in the government context. Understands the importance of assisted digital and is able to design services and make decisions to meet users needs.		
10491	1044	14	Demonstrates an awareness of design, technology and data principles and fits into the cultural dialogue and relevant priorities. Understands the internet and the range of available technology choices.		
10407	1045	11	Can create data science products which are proportionate to the business benefit and achieve significant impact. Presents analysis and visualisations in clear ways to communicate complex messages. Develops data science communication skills within their team. Supports the evolution of data governance and takes responsibility for applying the data science ethical framework in their business area.		
10400	1045	12	Communicates the business benefit of data science products, championing and governing these across the organisation. Can communicate relevant, compelling stories in the most appropriate medium. Ensures data governance and data ethics are embedded in organisational strategy. Aligns data science priorities with wider organisational objectives (for example, budget).		
10415	1045	13	Understands the benefit of using data science products within the business based on business and user requirements. Can communicate data science products, including data, analysis and visualisations effectively, using media tailored to the audience. Understands what data governance is required and can apply the data science ethical framework to their work.		
10421	1045	14	Understands the context of the business and the role of data science within the organisation. Can create basic visuals and presentations to communicate data science products effectively. Aware that data, analysis and how the two are communicated needs to be aligned to meet user needs. Understands how data governance works and how it relates to other organisational governance structures. Aware of the data science ethical framework and can apply this to their work.		
10189	1046	11	Works with higher impact or more complex risks. Advises on the impact of these and whether this is within risk tolerance. Able to apply different risk methodologies in proportion to the risk in question.		
10182	1046	12	A point of escalation. Trusted by senior risk owners as an expert in security. Able to apply risk methodologies at the most complex levels of risk.		
10193	1046	13	Works with risk owners to advise and give feedback. Advises on risk impact and whether this is within risk tolerance. Understands different risk methodologies and how these are applied, as well as the proportionality of risk.		
10011	1047	11	Contributes to the creation and maintenance of the target operating model and identifies the impact on operational service.		
10027	1047	13	Understands and can apply the current target operating model to work.		
10040	1047	14	Has an awareness of the target operating model.		
10478	1048	11	Can absorb large amounts of conflicting information and use it to produce simple designs.		
10504	1048	11	Able to generate multiple solutions to a problem and tests them.		
10466	1048	12	Designs systems for use across multiple services and can identify the simplest approach out of a variety of approaches (Occam’s Razor).		
10484	1048	13	Able to generate multiple solutions to a problem and tests them.		
10492	1048	14	Aware of the value of evidence-based design and knows that design is a process.		
10503	1049	11	Works with higher impact or more complex risks. Builds consensus between services or independent stakeholders. Leads others to make good design decisions. Applies different risk methodologies in proportion to the risk in question.		
10500	1049	12	Makes and justifies decisions characterised by high levels of risk, impact and complexity. Builds consensus between organisations (private or public) or highly independent and diverse stakeholders. Trusted by senior risk owners as an expert in security. Able to apply risk methodologies at the most complex levels of risk and guide others in applying risk methodologies in proportion to the risk in question.		
10505	1049	13	Able to generate multiple solutions to a problem and tests them.		
10506	1049	14	Capable of identifying and articulating technical disputes between direct peers and local stakeholders. Works collaboratively whilst recommending decisions and their reasoning.		
10050	1050	11	Able to influence or create budgets that are complex (this could be across an organisation, programme or product view). Able to manage the budget they are given and make it work.		
10054	1050	11	Able to negotiate, influence or set budgets in complex environments. Able to write or input into business cases and can communicate business value propositions.		
10073	1050	12	Able to influence or create budgets that are complex (this could be across an organisation, programme or product view). Able to manage the budget they are given and make it work.		
10062	1050	13	Able to balance cost versus value. Able to consider the impact of user needs. Able to report on financial delivery. Able to monitor cost and budget and escalate issues.		
10070	1050	14	Understands the financial impact of the work they do and how cost and budgets are created.		
10087	1051	11	Understands the market place, realising the benefit and persuading others that a product is the right one to use. Able to integrate a product with other services. Capable of ensuring products get used. Able to realise benefits by linking work in progress back to the business case. Able to build business cases based on user needs.		
10090	1051	11	Understands the market place, realising the benefit, and persuading others that a product is the right one to use. Able to integrate a product with other services. Capable of ensuring products get used. Able to realise benefits by linking work in progress back to the business case. Able to build business cases based on user needs.		
10075	1051	12	Able to develop an agile business case, own and iterate it throughout the lifecycle. Able to develop benefits with others within the portfolio. Understands the granularity of financial costs per sprint and value delivered.		
10108	1051	14	Able to handle numbers confidently and collate information ensuring accuracy of financial and performance data.		
10358	1052	11	Able to design and execute a wide range of testing techniques and communicate test results to both technical and non-technical stakeholders. Able to make decisions on the environment for testing and coaches others. Able to raise defects with the business and help prioritise them based on defect severity.		
10362	1052	12	Able to advise on up-to-date functional testing techniques. Able to assess and peer review the work of others. Able to coach and mentor others. Able to write test approaches for major projects and provide guidance on risk approaches. Can devise new test techniques and provide recommendations.		
10367	1052	13	Able to design and execute test cases using standard testing techniques. Able to come up with different business scenarios for a feature, working with others in the team.		
10370	1052	14	Aware of functional testing techniques. Able to execute test scenarios and raise defects. Can run tests others have written and knows the processes to do so. Understands a range of standard testing techniques.		
10118	1053	11	Capable of evolving and defining governance and taking responsibility for collaborating and supporting in wider governance. Knows how to assure services delivered by technical architects across sets of services.		
10114	1053	12	Able to understand how technical governance works with wider governance (for example, budget). Capable of assuring corporate services by understanding key risks and mitigation through assurance mechanisms.		
10127	1053	13	Understands how governance works and what governance is required. Capable of taking responsibility for the assurance of parts of a service, knows what risks need to be managed.		
10130	1053	14	Understands how governance works and is able to participate in assurance.		
10140	1054	11	Capable of evolving and defining governance and taking responsibility for collaborating and supporting in wider governance. Knows how to assure services delivered by Architects across sets of services.		
10134	1054	12	Able to understand how technical governance works with wider governance (for example, budget). Capable of assuring corporate services by understanding key risks and mitigation through assurance mechanisms.		
10144	1054	14	Understands how governance works and is able to participate in assurance.		
10289	1055	11	Leads the investigation and resolution of incidents.		
10310	1055	13	Able to diagnose and prioritise incidents, investigating their causes and finding resolutions.		
10297	1055	14	Identifies and registers incidents, gathering the required information and allocating to the appropriate channel.		
10516	1056	11	Can help teams understand the diversity of users of government services. Knows how to include all kinds of users in appropriate research activities. Can advocate for inclusive practices and help teams design and deliver accessible services that work for all users.		
10510	1056	12	Can help organisations understand the diversity of users of government services. Can guide organisations to adopt inclusive practices and apply what they learn to design and deliver accessible services that work for all users.		
10525	1056	13	Understands the diversity of users of government services and the need to make services usable and accessible for everyone. Can work with colleagues to include many kinds of users in appropriate research activities.		
10529	1056	14	Has some awareness of the diversity of users of government services and the need to make government services usable and accessible for everyone.		
10214	1057	11	Has an appreciation of information security, designing solutions and services with security controls embedded, specifically engineered as mitigation against security threats as core part of the solutions and services.		
10242	1057	11	Has an appreciation of information security, designing solutions and services with security controls embedded, specifically engineered as mitigation against security threats as a core part of the solutions and services.		
10204	1057	12	Has a depth of knowledge in information security, able to design, quality review and quality assure solutions and services with security controls embedded, specifically engineered as mitigation against security threats as core part of the solutions and services.		
10228	1057	13	Understands information security and the types of security controls that can be used to mitigate security threats within solutions and services.		
10232	1057	14	Aware of information security and the security controls that can be used to mitigate security threats within solutions and services.		
10005	1058	11	Leads others to innovate in their work as well as innovating in their own.		
10021	1058	13	Has awareness of innovation and is able to apply this to own work.		
